provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
MIS,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
SFE,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
SDE,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
TUC,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CAT,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CAB,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CRR,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CHA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
ETR,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
JJY,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
PBA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
RNE,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
STA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
SJU,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
SCZ,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CBA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
LPA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
TDF,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
LRI,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
