provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,1,247290,Estatal,Urbano,3,2,457.72147,444.71057,.92589754,2,2,2,1,7,7,CUYO,2
MIS,1,120086,Estatal,Urbano,1,2,381.35403,426.07071,-.20753309,2,2,2,1,4,2,NEA,1
SFE,1,350351,Estatal,Rural,3,2,483.67355,434.4043,-.014973185,2,2,2,1,5,5,CENTRO,2
SDE,1,73654,Estatal,Rural,4,4,727.04358,657.31915,-2.7793202,1,2,2,1,3,2,NOA,3
TUC,1,41513,Estatal,Rural,2,1,436.26801,391.87509,.068221338,2,2,2,1,2,5,NOA,2
CAT,1,36640,Estatal,Urbano,3,1,496.76895,400.64941,.21895084,2,2,2,1,7,5,NOA,2
CAB,1,382564,Privado,Urbano,3,2,462.06601,440.90659,.20472226,2,2,2,1,5,5,CENTRO,1
CRR,1,697055,Estatal,Rural,4,3,569.6413,552.10132,.54064792,2,2,-9,1,5,5,NEA,1
CHA,1,808295,Estatal,Urbano,2,2,439.37143,427.75623,.3732788,2,2,2,1,5,4,NEA,1
ETR,2,729780,Privado,Urbano,3,3,532.67023,477.87949,.52010643,2,2,2,1,5,5,CENTRO,2
JJY,2,652710,Estatal,Urbano,4,3,599.29071,577.31036,-.36118677,2,2,2,1,5,2,NOA,2
PBA,1,191970,Estatal,Urbano,3,3,525.84473,466.60205,.90840024,2,2,2,1,7,4,CENTRO,2
RNE,1,99607,Estatal,Urbano,2,1,408.01086,336.89902,.42587888,2,3,2,2,7,3,SUR,2
STA,1,213305,Privado,Urbano,4,4,714.67725,633.61755,.4497599,2,2,2,1,7,7,NOA,2
SJU,1,846022,Estatal,Urbano,3,3,538.81189,512.16821,-.040012609,2,2,2,1,5,5,CUYO,2
SCZ,1,360538,Privado,Urbano,4,4,633.88531,666.065,1.4225767,3,2,2,1,7,7,SUR,2
CBA,2,271339,Estatal,Urbano,3,3,542.4715,548.34009,.23673908,2,2,2,1,5,4,CENTRO,3
LPA,3,828398,Estatal,Urbano,4,3,573.57043,522.78497,.19833857,2,2,2,1,5,4,SUR,2
TDF,1,761927,Estatal,Urbano,4,3,613.13867,542.46802,1.0554599,3,2,2,1,7,7,SUR,3
LRI,1,319895,Estatal,Rural,1,2,376.50552,414.90881,.68791789,2,2,-9,1,4,4,NOA,1
SLU,2,703923,Estatal,Urbano,3,3,526.07452,504.22156,.57270652,2,2,2,1,7,5,CUYO,3
FOR,2,642192,Estatal,Urbano,2,3,411.0769,468.99683,-.23568748,2,2,2,1,2,4,NEA,3
CHU,1,301,Estatal,Rural,3,2,464.34241,426.91855,-.98030746,2,2,-9,1,1,3,SUR,2
NEU,1,86313,Privado,Urbano,3,3,487.98367,491.25955,.19108739,2,2,2,1,3,3,SUR,3
