provincia,cantidad,promedio_matematica,promedio_lengua,promedio_nse,proporcion_ambito_rural,proporcion_sector_estatal
JJY,1,577.31036,599.29071,-0.36118677,0.0,1.0
CAB,1,440.90659,462.06601,0.20472226,0.0,0.0
LPA,1,522.78497,573.57043,0.19833857,0.0,1.0
SFE,1,434.4043,483.67355,-0.014973185,1.0,1.0
PBA,1,466.60205,525.84473,0.90840024,0.0,1.0
ETR,1,477.87949,532.67023,0.52010643,0.0,0.0
TDF,1,542.46802,613.13867,1.0554599,0.0,1.0
MZA,1,444.71057,457.72147,0.92589754,0.0,1.0
FOR,1,468.99683,411.0769,-0.23568748,0.0,1.0
STA,1,633.61755,714.67725,0.4497599,0.0,0.0
MIS,1,426.07071,381.35403,-0.20753309,0.0,1.0
CRR,1,552.10132,569.6413,0.54064792,1.0,1.0
SDE,1,657.31915,727.04358,-2.7793202,1.0,1.0
CHA,1,427.75623,439.37143,0.3732788,0.0,1.0
CAT,1,400.64941,496.76895,0.21895084,0.0,1.0
SLU,1,504.22156,526.07452,0.57270652,0.0,1.0
TUC,1,391.87509,436.26801,0.068221338,1.0,1.0
NEU,1,491.25955,487.98367,0.19108739,0.0,0.0
RNE,1,336.89902,408.01086,0.42587888,0.0,1.0
LRI,1,414.90881,376.50552,0.68791789,1.0,1.0
CBA,1,548.34009,542.4715,0.23673908,0.0,1.0
SCZ,1,666.065,633.88531,1.4225767,0.0,0.0
SJU,1,512.16821,538.81189,-0.040012609,0.0,1.0
CHU,1,426.91855,464.34241,-0.98030746,1.0,1.0
